Car_id;Company;Model;Transmission;Color;Price ($);Body Style;Phone
C_CND_000061;Toyota;Tacoma;Manual;Black;36000;Hardtop;6139882
C_CND_000062;Mercedes-B;C-Class;Manual;Pale White;17000;Hatchback;7181009
C_CND_000063;Mercedes-B;M-Class;Manual;Pale White;41000;Hatchback;7936565
C_CND_000064;Audi;A6;Auto;Black;14000;SUV;7419754
C_CND_000065;Dodge;Intrepid;Auto;Pale White;31100;Sedan;8637804
C_CND_000066;Buick;Park Avenue;Auto;Black;61000;Hatchback;8380613
C_CND_000067;Dodge;Viper;Manual;Black;26000;SUV;6595676
C_CND_000068;Toyota;Sienna;Manual;Black;12000;Passenger;7244029
C_CND_000069;Volvo;S40;Auto;Pale White;42000;Sedan;6741165
C_CND_000070;Mitsubishi;Diamante;Auto;Pale White;21000;Hatchback;8822935
C_CND_000071;Cadillac;DeVille;Auto;Pale White;22600;SUV;8026457
C_CND_000072;Jaguar;S-Type;Manual;Pale White;45000;Passenger;8872334
C_CND_000073;Mitsubishi;Eclipse;Manual;Black;25000;SUV;6204993
C_CND_000074;Ford;Contour;Auto;Pale White;62000;Sedan;7031644
C_CND_000075;Volkswagen;Jetta;Auto;Black;22700;Passenger;7179280
C_CND_000076;Mitsubishi;Montero Sport;Auto;Black;45000;SUV;6245275
C_CND_000077;Lincoln;Town car;Manual;Black;17000;Hatchback;7072635
C_CND_000078;Ford;Focus;Manual;Black;49000;Hardtop;6766211
C_CND_000079;Audi;A6;Manual;Black;15000;SUV;8011357
C_CND_000080;Acura;TL;Auto;Black;28000;Hatchback;7539127
C_CND_000081;Nissan;Pathfinder;Auto;Pale White;46000;Hardtop;6559063
C_CND_000082;Ford;Mustang;Manual;Pale White;43000;Hatchback;8082987
C_CND_000083;Oldsmobile;Cutlass;Auto;Pale White;41000;Sedan;7328070
C_CND_000084;Chevrolet;Corvette;Auto;Pale White;45000;SUV;7078803
C_CND_000085;Chevrolet;Impala;Manual;Pale White;22001;Hatchback;8636283
C_CND_000086;Volkswagen;Cabrio;Manual;Pale White;25001;Sedan;7109521
C_CND_000087;Dodge;Dakota;Manual;Pale White;12800;Sedan;7305344
C_CND_000088;Chrysler;300M;Auto;Black;26000;SUV;8941079
C_CND_000089;BMW;328i;Auto;Black;18000;Sedan;6136111
C_CND_000090;Oldsmobile;Bravada;Auto;Pale White;19000;Hatchback;8001444
C_CND_000091;Nissan;Maxima;Manual;Pale White;22500;Sedan;7696195
C_CND_000092;Dodge;Ram Pickup;Manual;Pale White;21001;Hardtop;8188037
C_CND_000093;Chrysler;Concorde;Auto;Pale White;46500;Hardtop;8351089
C_CND_000094;Chrysler;300M;Auto;Pale White;16000;SUV;6130679
C_CND_000095;Volvo;V70;Auto;Black;39000;Passenger;6260413
C_CND_000096;Nissan;Quest;Manual;Black;19000;SUV;8750989
C_CND_000097;Chrysler;LHS;Auto;Black;26000;Hatchback;6784534
C_CND_000098;Honda;Accord;Manual;Black;43000;Sedan;7944735
C_CND_000099;Nissan;Maxima;Manual;Pale White;54000;Sedan;8099375
C_CND_000100;Dodge;Durango;Auto;Pale White;22000;SUV;6641303
C_CND_000101;Lexus;ES300;Auto;Black;16001;SUV;8158584
C_CND_000102;BMW;328i;Auto;Black;16001;Sedan;7159142
C_CND_000103;Toyota;Land Cruiser;Auto;Pale White;12000;SUV;7495544
C_CND_000104;Mercedes-B;SL-Class;Manual;Black;38000;Hardtop;6682438
C_CND_000105;Ford;Explorer;Auto;Pale White;42000;Hatchback;7189696
C_CND_000106;Nissan;Pathfinder;Auto;Pale White;21000;Hatchback;8844816
C_CND_000107;Volvo;C70;Auto;Black;49000;Hatchback;8002612
C_CND_000108;Chevrolet;Prizm;Manual;Pale White;21200;Hardtop;6633882
C_CND_000109;Mercury;Grand Marquis;Manual;Pale White;71000;SUV;8884667
C_CND_000110;Chevrolet;Camaro;Auto;Pale White;17000;Sedan;6759578
C_CND_000111;Subaru;Outback;Auto;Pale White;57001;SUV;6376331
C_CND_000112;Buick;Park Avenue;Auto;Pale White;62001;Hatchback;6729016
C_CND_000113;Ford;Taurus;Manual;Black;69001;SUV;7270473
C_CND_000114;Chevrolet;Cavalier;Manual;Pale White;20001;SUV;7281617
C_CND_000115;Audi;A4;Auto;Black;27000;Hardtop;7824922
C_CND_000116;Ford;Focus;Manual;Black;49000;Hardtop;8944331
C_CND_000117;Mitsubishi;Diamante;Manual;Black;49000;Hatchback;7757499
C_CND_000118;Lexus;GS400;Auto;Black;12000;Hatchback;6586288
C_CND_000119;Mercedes-B;M-Class;Manual;Pale White;25000;Hatchback;8486170
C_CND_000120;Chrysler;Concorde;Auto;Pale White;42000;Hatchback;6732905
C_CND_000121;Chrysler;Sebring Coupe;Auto;Pale White;19000;Sedan;7212279
C_CND_000122;Chevrolet;Monte Carlo;Manual;Pale White;26750;Hatchback;8144887
C_CND_000123;Cadillac;Eldorado;Auto;Pale White;31000;Passenger;8668755
C_CND_000124;Saturn;LW;Manual;Pale White;49000;Hatchback;8892301
C_CND_000125;Hyundai;Sonata;Manual;Black;15000;SUV;6238423
C_CND_000126;Mercury;Sable;Auto;Pale White;26000;Sedan;7552575
C_CND_000127;Mercedes-B;SL-Class;Manual;Pale White;17000;Hardtop;6278363
C_CND_000128;Volvo;C70;Manual;Pale White;24000;Hatchback;6323753
C_CND_000129;Chevrolet;Metro;Auto;Pale White;19000;Passenger;8368721
C_CND_000130;Jaguar;S-Type;Manual;Pale White;20000;Passenger;6328688
C_CND_000131;Acura;TL;Auto;Black;28501;Hatchback;6553517
C_CND_000132;BMW;323i;Auto;Pale White;15500;Hatchback;8070819
C_CND_000133;Plymouth;Voyager;Manual;Pale White;20000;Passenger;7541816
C_CND_000134;Nissan;Maxima;Manual;Pale White;29000;Sedan;8368460
C_CND_000135;Chrysler;Cirrus;Auto;Pale White;12500;Passenger;7578367
C_CND_000136;Mercury;Grand Marquis;Manual;Pale White;16001;SUV;6435654
C_CND_000137;Lexus;ES300;Auto;Pale White;27250;SUV;7906708
C_CND_000138;Dodge;Intrepid;Manual;Black;11000;Sedan;6536878
C_CND_000139;Nissan;Maxima;Manual;Pale White;22001;Sedan;6374244
C_CND_000140;Dodge;Avenger;Auto;Pale White;22000;Passenger;6500188
C_CND_000141;Chevrolet;Corvette;Manual;Pale White;22000;SUV;8574162
C_CND_000142;Acura;RL;Manual;Black;18000;SUV;6655590
C_CND_000143;Honda;Odyssey;Manual;Pale White;27000;Passenger;6691774
C_CND_000144;Oldsmobile;Intrigue;Manual;Pale White;25000;SUV;7264601
C_CND_000145;Acura;RL;Manual;Pale White;26500;SUV;7583887
C_CND_000146;Ford;Taurus;Manual;Black;69000;SUV;8687698
C_CND_000147;Oldsmobile;Silhouette;Manual;Pale White;14150;Sedan;7808972
C_CND_000148;Saab;5-Sep;Manual;Pale White;28000;Hatchback;6099473
C_CND_000149;Honda;Civic;Manual;Black;43000;Hatchback;8406767
C_CND_000150;BMW;528i;Manual;Pale White;25000;SUV;7946702
C_CND_000151;Oldsmobile;Silhouette;Auto;Pale White;12000;Sedan;6420448
C_CND_000152;Lexus;LS400;Auto;Black;39000;Sedan;7232005
C_CND_000153;Cadillac;Eldorado;Auto;Black;60500;Passenger;7622532
C_CND_000154;Volkswagen;Jetta;Auto;Pale White;16000;Passenger;7398647
C_CND_000155;Pontiac;Bonneville;Auto;Pale White;19000;Hatchback;7387235
C_CND_000156;Chevrolet;Monte Carlo;Manual;Black;44000;Hatchback;8931658
C_CND_000157;Oldsmobile;Aurora;Manual;Pale White;71000;Passenger;7887874
C_CND_000158;Ford;Mustang;Manual;Pale White;25000;Hatchback;8238020
C_CND_000159;Mitsubishi;Diamante;Auto;Black;18000;Hatchback;6735346
C_CND_000160;Ford;Expedition;Manual;Pale White;22000;SUV;6859342
C_CND_000161;Mercedes-B;M-Class;Manual;Pale White;41000;Hardtop;7891679
C_CND_000162;Ford;Focus;Manual;Black;49000;Hardtop;8493769
C_CND_000163;Volkswagen;Jetta;Auto;Pale White;19000;Passenger;8239781
C_CND_000164;BMW;528i;Manual;Black;21000;SUV;6539980
C_CND_000165;Subaru;Forester;Auto;Black;22000;Hardtop;6815074
C_CND_000166;Plymouth;Breeze;Manual;Pale White;16000;SUV;8431840
C_CND_000167;Volkswagen;Beetle;Auto;Pale White;45000;SUV;8808261
C_CND_000168;Dodge;Intrepid;Manual;Black;11650;Sedan;8193979
C_CND_000169;Hyundai;Elantra;Manual;Pale White;26000;Sedan;6422078
C_CND_000170;Saturn;SW;Manual;Black;36000;Passenger;7960177
C_CND_000171;Lincoln;Continental;Manual;Pale White;82000;Passenger;6642461
C_CND_000172;Chevrolet;Camaro;Auto;Pale White;24000;Sedan;7781272
C_CND_000173;Nissan;Pathfinder;Manual;Pale White;11800;Hardtop;6438030
C_CND_000174;Toyota;RAV4;Auto;Pale White;27500;Hatchback;7063414
C_CND_000175;Mercury;Villager;Auto;Pale White;36000;Passenger;7033838
C_CND_000176;Jaguar;S-Type;Manual;Pale White;20000;Passenger;8626515
C_CND_000177;Mercedes-B;SLK;Manual;Pale White;17000;Passenger;8692179
C_CND_000178;Volkswagen;Jetta;Auto;Pale White;16900;Passenger;8280131
C_CND_000179;Buick;Regal;Auto;Pale White;46500;Passenger;6775570
C_CND_000180;Mercedes-B;C-Class;Auto;Black;14000;Hatchback;8957521
C_CND_000181;Toyota;Sienna;Manual;Black;16000;Passenger;6492064
C_CND_000182;Volvo;S70;Manual;Black;22000;Hardtop;6729766
C_CND_000183;Nissan;Altima;Auto;Pale White;20000;Hatchback;8827586
C_CND_000184;Toyota;Celica;Manual;Pale White;14200;SUV;8378577
C_CND_000185;Saturn;LS;Auto;Pale White;51000;Sedan;6300537
C_CND_000186;Mitsubishi;Diamante;Manual;Pale White;19000;Hatchback;7658357
C_CND_000187;Lexus;GS400;Auto;Pale White;31000;Hatchback;7154079
C_CND_000188;Porsche;Carrera Cabrio;Auto;Pale White;32000;Passenger;7160297
C_CND_000189;Dodge;Ram Van;Auto;Pale White;31000;Hatchback;8063218
C_CND_000190;Oldsmobile;Silhouette;Manual;Pale White;14000;Sedan;8641482
C_CND_000191;Audi;A6;Manual;Black;25000;SUV;6554530
C_CND_000192;Oldsmobile;Cutlass;Auto;Pale White;46000;Sedan;6440545
C_CND_000193;Mercedes-B;S-Class;Auto;Black;39500;SUV;7293423
C_CND_000194;Mitsubishi;3000GT;Auto;Black;39000;Sedan;6687979
C_CND_000195;BMW;528i;Auto;Black;31000;SUV;8525846
C_CND_000196;Chevrolet;Malibu;Manual;Pale White;41000;Hatchback;6436923
C_CND_000197;Chrysler;300M;Auto;Pale White;22000;SUV;7273916
C_CND_000198;Ford;Mustang;Manual;Black;22000;Hatchback;8283096
C_CND_000199;Dodge;Viper;Auto;Pale White;41000;SUV;6784925
C_CND_000200;Jaguar;S-Type;Manual;Pale White;21000;Passenger;7826082
C_CND_000201;Mercedes-B;SLK;Manual;Black;26000;Passenger;6471180
C_CND_000202;Mercedes-B;E-Class;Auto;Pale White;31000;Sedan;8928940
C_CND_000203;Pontiac;Grand Am;Auto;Pale White;19000;SUV;7428074
C_CND_000204;Saturn;LW;Manual;Pale White;13000;Hatchback;8948624
C_CND_000205;Saturn;SC;Auto;Black;33000;Hardtop;7941618
C_CND_000206;Mercury;Sable;Manual;Pale White;61000;Sedan;7356041
C_CND_000207;Toyota;Land Cruiser;Auto;Black;21000;SUV;8854864
C_CND_000208;Nissan;Maxima;Manual;Pale White;16000;Sedan;6668924
C_CND_000209;Oldsmobile;Bravada;Auto;Pale White;15000;Hatchback;7296907
C_CND_000210;Volkswagen;Passat;Manual;Pale White;27000;Hatchback;7555872
C_CND_000211;Volkswagen;Passat;Auto;Pale White;13500;Hatchback;6327935
C_CND_000212;Nissan;Xterra;Auto;Black;9250;Passenger;6171876
C_CND_000213;Ford;Mustang;Auto;Pale White;31000;Hatchback;8997806
C_CND_000214;Volkswagen;Passat;Auto;Pale White;32000;Hatchback;7104776
C_CND_000215;Volvo;S40;Auto;Pale White;29500;Sedan;8210697
C_CND_000216;Mercury;Villager;Manual;Pale White;14000;Passenger;8717945
C_CND_000217;Nissan;Frontier;Auto;Pale White;18501;Hatchback;6719698
C_CND_000218;Acura;RL;Manual;Pale White;17001;SUV;8884589
C_CND_000219;Mitsubishi;Montero Sport;Manual;Pale White;12500;SUV;7091817
C_CND_000220;BMW;528i;Manual;Black;21000;SUV;6053967
C_CND_000221;BMW;528i;Auto;Pale White;62000;SUV;7755205
C_CND_000222;Ford;Crown Victoria;Auto;Black;11000;Passenger;6075959
C_CND_000223;Nissan;Frontier;Manual;Pale White;20000;Hatchback;6579013
C_CND_000224;Honda;Accord;Auto;Pale White;21200;Sedan;6175694
C_CND_000225;Toyota;Camry;Manual;Black;29000;Hatchback;7778542
C_CND_000226;Cadillac;Eldorado;Auto;Pale White;17000;Passenger;8652954
C_CND_000227;Lexus;ES300;Auto;Pale White;27000;Hatchback;8165932
C_CND_000228;Volvo;S40;Manual;Black;36000;Sedan;8439749
C_CND_000229;Lincoln;Navigator;Auto;Black;19000;Sedan;6548543
C_CND_000230;Nissan;Frontier;Auto;Pale White;18000;Hatchback;7638367
C_CND_000231;Chevrolet;Prizm;Auto;Pale White;15000;Hardtop;6042502
C_CND_000232;Toyota;Tacoma;Manual;Pale White;24000;Hardtop;7856638
C_CND_000233;Nissan;Sentra;Auto;Black;16000;Passenger;7774440
C_CND_000234;Ford;Crown Victoria;Auto;Pale White;29000;Passenger;6944597
C_CND_000235;Pontiac;Bonneville;Auto;Pale White;19000;Hatchback;8669480
C_CND_000236;Mercedes-B;CL500;Manual;Black;22000;SUV;6063129
C_CND_000237;Dodge;Viper;Auto;Pale White;23500;SUV;6972050
C_CND_000238;Mitsubishi;Galant;Auto;Pale White;36000;Passenger;8725531
C_CND_000239;Pontiac;Bonneville;Auto;Pale White;19000;Hatchback;7853364
C_CND_000240;Toyota;Tacoma;Auto;Pale White;53000;Hardtop;6090926
C_CND_000241;Cadillac;Escalade;Auto;Black;28000;Sedan;6059431
C_CND_000242;Oldsmobile;Silhouette;Auto;Black;60750;Sedan;7474014
C_CND_000243;Chevrolet;Prizm;Auto;Pale White;42000;Hardtop;6410028
C_CND_000244;Cadillac;Eldorado;Manual;Pale White;31000;Passenger;6249100
C_CND_000245;Ford;Contour;Auto;Pale White;62000;Sedan;7798861
C_CND_000246;Mercedes-B;S-Class;Auto;Black;39500;SUV;6712658
C_CND_000247;Toyota;Tacoma;Manual;Pale White;24001;Hardtop;7391292
C_CND_000248;Mercedes-B;C-Class;Auto;Pale White;15000;Hatchback;7186099
C_CND_000249;Nissan;Quest;Manual;Black;19000;SUV;7445427
C_CND_000250;Volkswagen;Golf;Auto;Pale White;35000;Hardtop;6723919
C_CND_000251;Hyundai;Sonata;Manual;Pale White;21000;SUV;7019166
C_CND_000252;Nissan;Altima;Auto;Pale White;20000;Hatchback;8939266
C_CND_000253;Ford;Ranger;Manual;Black;18500;Hatchback;6711152
C_CND_000254;Chevrolet;Corvette;Auto;Pale White;45000;SUV;6628315
C_CND_000255;Oldsmobile;Silhouette;Auto;Pale White;12000;Sedan;8350736
C_CND_000256;Chevrolet;Prizm;Manual;Pale White;21500;SUV;7134389
C_CND_000257;Volvo;S40;Manual;Pale White;17000;Sedan;8387204
C_CND_000258;Chevrolet;Corvette;Auto;Pale White;46000;SUV;8530223
C_CND_000259;Toyota;Corolla;Auto;Pale White;41100;Passenger;7658291
C_CND_000260;Toyota;RAV4;Manual;Pale White;22500;Hatchback;7810244
C_CND_000261;Mercury;Grand Marquis;Auto;Black;9000;SUV;8364023
C_CND_000262;Chevrolet;Cavalier;Manual;Pale White;20200;SUV;7546455
C_CND_000263;Nissan;Maxima;Manual;Pale White;59000;Sedan;6194175
C_CND_000264;Volvo;S70;Manual;Black;22000;SUV;7025992
C_CND_000265;Subaru;Outback;Auto;Pale White;57000;SUV;8108037
C_CND_000266;Chevrolet;Corvette;Auto;Pale White;25500;SUV;8672450
C_CND_000267;Acura;RL;Manual;Black;18000;SUV;7085492
C_CND_000268;Honda;Odyssey;Manual;Pale White;27000;Passenger;8594191
C_CND_000269;Toyota;RAV4;Manual;Pale White;22000;Hatchback;8541398
C_CND_000270;Toyota;Tacoma;Manual;Pale White;82000;Hatchback;7848361
C_CND_000271;Plymouth;Prowler;Auto;Pale White;15000;Hatchback;6534513
C_CND_000272;Toyota;Camry;Auto;Pale White;31000;Hatchback;6484440
C_CND_000273;Volkswagen;Passat;Auto;Pale White;13000;Hatchback;6179651
C_CND_000274;Volkswagen;Cabrio;Auto;Pale White;17000;Sedan;7691251
C_CND_000275;Chrysler;Sebring Coupe;Auto;Pale White;46000;Sedan;6154930
C_CND_000276;Ford;Windstar;Auto;Pale White;19100;Sedan;8711691
C_CND_000277;Dodge;Durango;Auto;Pale White;10000;SUV;6575129
C_CND_000278;Lincoln;Continental;Manual;Black;42000;Passenger;7712199
C_CND_000279;Mitsubishi;Diamante;Auto;Black;18000;Hatchback;8429371
C_CND_000280;Toyota;Celica;Auto;Pale White;25000;SUV;6632898
C_CND_000281;Volkswagen;Jetta;Auto;Black;22000;Passenger;8164247
C_CND_000282;Volkswagen;GTI;Manual;Black;25000;SUV;7536144
C_CND_000283;Buick;Park Avenue;Manual;Pale White;23000;Hatchback;6911603
C_CND_000284;Volkswagen;Jetta;Auto;Pale White;33000;Passenger;6226752
C_CND_000285;Oldsmobile;Silhouette;Manual;Pale White;25000;Sedan;8221235
C_CND_000286;Honda;Accord;Manual;Black;43000;Sedan;6988136
C_CND_000287;BMW;328i;Manual;Pale White;21001;Sedan;8690744
C_CND_000288;Pontiac;Bonneville;Manual;Pale White;11501;Hatchback;8027275
C_CND_000289;Volkswagen;Passat;Auto;Pale White;32000;Hatchback;6608005
C_CND_000290;Hyundai;Sonata;Manual;Black;20000;SUV;7465437
C_CND_000291;Volkswagen;Passat;Auto;Black;9000;Hatchback;6535530
C_CND_000292;Ford;Crown Victoria;Auto;Pale White;29000;Passenger;8160891
C_CND_000293;Mercedes-B;C-Class;Manual;Pale White;17000;Hatchback;6044969
C_CND_000294;Honda;Passport;Manual;Pale White;27000;Hatchback;7272811
C_CND_000295;Honda;Odyssey;Manual;Pale White;54000;Passenger;6894798
C_CND_000296;Mercury;Cougar;Auto;Black;33000;Hatchback;6730472
C_CND_000297;Honda;Passport;Manual;Pale White;27500;Hardtop;6779688
C_CND_000298;Toyota;Celica;Manual;Pale White;14000;SUV;8547639
C_CND_000299;Chevrolet;Camaro;Auto;Black;41000;Sedan;7348351
C_CND_000300;Ford;Taurus;Manual;Pale White;22000;SUV;7915626
C_CND_000301;Ford;Focus;Manual;Pale White;24000;SUV;8740005
C_CND_000302;Porsche;Boxter;Manual;Pale White;24250;SUV;7058375
C_CND_000303;Oldsmobile;Intrigue;Manual;Pale White;37000;SUV;7599809
C_CND_000304;Lexus;LX470;Manual;Pale White;54500;SUV;6737724
C_CND_000305;Chrysler;Sebring Coupe;Auto;Pale White;46000;Sedan;8987884
C_CND_000306;Dodge;Stratus;Manual;Pale White;37000;Hatchback;7580732
C_CND_000307;Dodge;Viper;Manual;Black;26000;SUV;6994009
C_CND_000308;Nissan;Pathfinder;Auto;Pale White;21000;Hatchback;6214183
C_CND_000309;Toyota;Corolla;Auto;Pale White;41000;Passenger;6374482
C_CND_000310;Nissan;Quest;Manual;Black;12000;SUV;6569596
C_CND_000311;Dodge;Stratus;Manual;Pale White;25100;Hatchback;8123167
C_CND_000312;Toyota;Camry;Manual;Black;34000;Hatchback;8382877
C_CND_000313;Oldsmobile;Aurora;Manual;Pale White;34000;Passenger;7360406
C_CND_000314;Mitsubishi;Montero Sport;Auto;Pale White;39000;Hardtop;7081916
C_CND_000315;Mercury;Cougar;Auto;Black;33000;Hatchback;8843585
C_CND_000316;Lincoln;Navigator;Manual;Pale White;33000;Sedan;6038590
C_CND_000317;Acura;RL;Manual;Black;18000;SUV;7539875
C_CND_000318;Honda;Accord;Auto;Pale White;21000;Sedan;6862992
C_CND_000319;Mitsubishi;Montero Sport;Auto;Pale White;39000;SUV;6503890
C_CND_000320;Mercedes-B;M-Class;Manual;Pale White;25000;SUV;7275191
C_CND_000321;Nissan;Pathfinder;Auto;Pale White;46000;SUV;8835994
C_CND_000322;Chevrolet;Metro;Manual;Pale White;13500;Passenger;6838769
C_CND_000323;Dodge;Dakota;Auto;Pale White;21000;Sedan;6181924
C_CND_000324;Hyundai;Sonata;Manual;Pale White;13000;SUV;7890074
C_CND_000325;Ford;Taurus;Manual;Black;43000;SUV;7480624
C_CND_000326;Toyota;RAV4;Manual;Pale White;22000;Hatchback;7410063
C_CND_000327;Porsche;Boxter;Auto;Black;26000;SUV;8148532
C_CND_000328;Honda;CR-V;Auto;Pale White;12000;SUV;7592271
C_CND_000329;Toyota;Corolla;Manual;Pale White;22000;Passenger;8047606
C_CND_000330;Nissan;Pathfinder;Auto;Pale White;21900;Hatchback;8924275
C_CND_000331;Volkswagen;Beetle;Auto;Pale White;45000;Hatchback;6697665
C_CND_000332;Plymouth;Prowler;Manual;Pale White;71000;Hatchback;8372194
C_CND_000333;Saturn;LW;Manual;Pale White;13000;Hatchback;7561365
C_CND_000334;Mercury;Villager;Manual;Pale White;14000;Passenger;6395931
C_CND_000335;Chevrolet;Metro;Manual;Pale White;13000;Passenger;8716925
C_CND_000336;Saab;5-Sep;Manual;Pale White;28000;Hatchback;8962316
C_CND_000337;Mercedes-B;SLK230;Manual;Pale White;14000;Hatchback;6034632
C_CND_000338;Nissan;Xterra;Manual;Pale White;31000;Passenger;7457602
C_CND_000339;Ford;Crown Victoria;Auto;Pale White;29200;Passenger;8920349
C_CND_000340;Chevrolet;Lumina;Manual;Black;42000;Passenger;7148486
C_CND_000341;Ford;Ranger;Manual;Black;18000;Hardtop;6796602
C_CND_000342;Audi;A6;Manual;Pale White;13000;SUV;7691935
C_CND_000343;Cadillac;Eldorado;Manual;Black;85000;Passenger;6417156
C_CND_000344;Pontiac;Sunfire;Manual;Pale White;43000;Sedan;7976159
C_CND_000345;Buick;Regal;Manual;Pale White;43500;Passenger;7161187
C_CND_000346;Toyota;Tacoma;Manual;Black;36000;SUV;8982126
C_CND_000347;Infiniti;I30;Manual;Pale White;16000;SUV;8879181
C_CND_000348;Ford;Windstar;Auto;Pale White;31000;Sedan;8138829
C_CND_000349;Dodge;Avenger;Auto;Black;16000;Passenger;6872309
C_CND_000350;Saturn;LS;Manual;Pale White;14000;Sedan;7514641
C_CND_000351;Dodge;Durango;Auto;Black;24000;SUV;7088700
C_CND_000352;Dodge;Ram Pickup;Auto;Pale White;39000;SUV;8458735
C_CND_000353;Acura;TL;Manual;Pale White;14500;Hatchback;6244359
C_CND_000354;Volvo;S70;Auto;Pale White;20000;SUV;8804792
C_CND_000355;Nissan;Pathfinder;Manual;Pale White;16500;Hardtop;8182025
C_CND_000356;Volkswagen;Passat;Auto;Pale White;31000;Hatchback;8041492
C_CND_000357;BMW;528i;Manual;Black;21000;SUV;6241610
